epoch,gaussian_epsilon_ma,gaussian_epsilon_clt,gaussian_accuracy,product_epsilon,product_accuracy
1,8.091678238691053,3.1150537812058774,0.2944048713235294,0.05360465356927629,0.2979951746323529
2,9.457265189934203,4.6383831471560875,0.35600873161764707,0.06206057982531283,0.3528952205882353
3,10.521813193489086,5.881022409642123,0.3753504136029412,0.07051650608171836,0.39811006433823526
4,11.46631712249812,6.976630678642575,0.4123506433823529,0.0789724323384929,0.40334329044117645
5,12.250166165555655,7.977575394175581,0.4429572610294118,0.08742835859563644,0.4471105238970588
6,13.034015208613189,8.910913232686232,0.46935891544117647,0.09588428485314901,0.46364315257352945
7,13.711761702026644,9.792805764094341,0.4893095128676471,0.10434021111103059,0.4582490808823529
8,14.364130485585866,10.633829266826645,0.4951056985294118,0.11279613736928121,0.4770622702205882
9,15.01649926914509,11.441356647159555,0.49560546875,0.12125206362790086,0.5054342830882353
10,15.63653491926202,12.220772585551975,0.5054457720588236,0.12970798988688956,0.5219669117647059
11,16.18752530080319,12.976152917862471,0.5034696691176471,0.1381639161462473,0.5284983915441177
12,16.73851568234436,13.710671592382706,0.5163775275735294,0.14661984240597412,0.5458926930147059
13,17.28950606388553,14.42685795886085,0.5303596047794118,0.15507576866606998,0.5519244025735295
14,17.840496445426698,15.126766660350365,0.5434053308823529,0.16353169492653494,0.5574448529411764
15,18.391486826967867,15.812093905322962,0.5594784007352941,0.17198762118736893,0.5382640165441177
16,18.865727825591783,16.48425946942356,0.5582778033088236,0.18044354744857208,0.5568876378676471
17,19.336601188500254,17.144466025687894,0.5616957720588236,0.18889947371014426,0.5763499540441177
18,19.807474551408724,17.793743028064927,0.5654296875,0.1973553999720856,0.5741670496323529
19,20.278347914317195,18.432979799133104,0.5663545496323529,0.20581132623439602,0.5920496323529412
20,20.749221277225665,19.062950902676914,0.5683249080882353,0.21426725249707557,0.5878102022058823
21,21.220094640134135,19.684335893404704,0.5647518382352941,0.2227231787601242,0.5978975183823529
22,21.690968003042602,20.297734896585713,0.5890050551470588,0.23117910502354203,0.6018324908088235
23,22.161841365951073,20.903681046406753,0.5930376838235294,0.23963503128732894,0.5863798253676471
24,22.592452902607874,21.50265052457537,0.6080135569852941,0.24809095755148503,0.5965705422794118
25,22.998576220055334,22.09507074221903,0.5943474264705882,0.25654688381601026,0.6086626838235294
26,23.404699537502797,22.681327068547123,0.6013671875,0.264446628333482,0.6107421875
27,23.81082285495026,23.26176841000935,0.6059340533088236,0.27113100034027143,0.6125
28,24.21694617239772,23.836711871362578,0.6067038143382353,0.2778153723478022,0.6069163602941177
29,24.62306948984518,24.406446676915973,0.6058076746323529,0.2844997443560742,0.6116325827205882
30,25.02919280729264,24.97123749068688,0.6164464613970588,0.2911841163650875,0.6259937959558823
31,25.435316124740105,25.531327244453312,0.6102309283088235,0.2978684883748421,0.6177504595588236
32,25.841439442187564,26.08693956006659,0.6211799172794118,0.304552860385338,0.6271024816176471
33,26.247562759635024,26.638280835021398,0.6263959099264705,0.31123723239657525,0.6241325827205882
34,26.653686077082487,27.185542046822576,0.6203642003676471,0.3179216044085538,0.6291532628676471
35,27.05980939452995,27.72890032117089,0.6218635110294117,0.32460597642127376,0.6383444393382354
36,27.46593271197741,28.268520300709813,0.6266888786764706,0.33129034843473504,0.6329905790441177
37,27.85250107947683,28.80455534450087,0.6294347426470588,0.3379747204489377,0.6445140165441177
38,28.205225626898695,29.33714858314569,0.6293141084558823,0.34465909246388177,0.6333926930147059
39,28.557950174320563,29.866433850246278,0.6219381893382353,0.3513434644795673,0.6426642922794118
40,28.91067472174243,30.392536507481346,0.6345990349264705,0.35802783649599423,0.6417796415441177
41,29.263399269164296,30.915574177788056,0.6285558363970588,0.3628248259666349,0.6437614889705883
42,29.616123816586164,31.43565739886514,0.6288315716911764,0.36728666418231687,0.6432674632352942
43,29.968848364008032,31.95289020733734,0.6349896599264706,0.37174850239947016,0.6391544117647059
44,30.321572911429897,32.46737066237038,0.6402516084558824,0.37621034061809483,0.6459616268382353
45,30.674297458851765,32.97919131624196,0.6437672334558824,0.3806721788381909,0.6505399816176471
46,31.027022006273633,33.48843963829019,0.6312902113970588,0.3851340170597584,0.6587948069852941
47,31.379746553695497,33.99519839777097,0.6433191636029412,0.3895958552827974,0.6507640165441176
48,31.732471101117362,34.49954601039217,0.6469956341911764,0.3940576935073079,0.6302964154411764
49,32.085195648539234,35.00155685265135,0.6529296875,0.3985195317332899,0.6570772058823529
50,32.4379201959611,35.50130154755665,0.6331341911764705,0.4029813699607435,0.6612247242647059
51,32.79064474338296,35.9988472248623,0.6461684283088236,0.4074432081896686,0.6551355698529412
52,33.143369290804834,36.494257758537465,0.6466739430147059,0.4119050464200654,0.6575482536764705
53,33.4960938382267,36.987593983860876,0.6471794577205883,0.41636688465193383,0.6546243106617646
54,33.84881838564856,37.47891389623839,0.6462603400735294,0.42082872288527395,0.6619944852941176
55,34.201542933070435,37.96827283358905,0.6406939338235295,0.4252905611200857,0.6483111213235294
56,34.5542674804923,38.4557236439347,0.6551298253676471,0.4297523993563692,0.6530962775735294
57,34.906992027914164,38.94131683962868,0.6546875,0.4342142375941245,0.6582318474264706
58,35.259716575336036,39.42510073950905,0.6570082720588235,0.4386760758333515,0.6575999540441176
59,35.589193633563504,39.90712160011012,0.6598747702205883,0.44313791407405034,0.6602251838235295
60,35.89707758543414,40.38742373694526,0.6485409007352941,0.4475551456822234,0.6623851102941176
61,36.204961537304776,40.86604963676446,0.6555778952205882,0.4519370283156521,0.6588694852941177
62,36.51284548917542,41.34304006159509,0.6481617647058824,0.4562862525551058,0.6617991727941177
63,36.82072944104606,41.818434145288755,0.6624253216911764,0.46060157146700365,0.6514188878676471
64,37.1286133929167,42.29226948322455,0.6608513327205883,0.46487124220493625,0.6630744485294118
65,37.436497344787334,42.764582215752206,0.6615636488970588,0.4691139733993317,0.6589211856617647
66,37.74438129665798,43.23540710590152,0.6566923253676471,0.4733290448902273,0.6530847886029412
67,38.05226524852862,43.704777611833684,0.6628676470588235,0.477497523196768,0.6587718290441177
68,38.360149200399256,44.17272595445845,0.6648207720588235,0.4816460857670457,0.6637752757352942
69,38.66803315226989,44.63928318061391,0.6595128676470587,0.4857588054896159,0.6465705422794118
70,38.975917104140535,45.104479222151916,0.6662281709558824,0.4898398227123951,0.6566693474264705
71,39.28380105601118,45.56834295125364,0.6714613970588236,0.49390056374325,0.6503963694852941
72,39.591685007881814,46.030902232263436,0.6690199908088236,0.49791773347577273,0.6627527573529413
73,39.89956895975245,46.492183970305454,0.6705824908088236,0.5019259532039793,0.6496438419117647
74,40.20745291162309,46.95221415692653,0.6711397058823529,0.5058834327048355,0.6520278033088236
75,40.51533686349374,47.41101791297845,0.6654526654411764,0.5098385828956369,0.6516544117647058
