epoch,gaussian_epsilon_prv,gaussian_epsilon_ma,gaussian_epsilon_clt,gaussian_accuracy,product_epsilon,product_accuracy,baseline_accuracy
36,24.704152,27.46593271,28.2685203,0.626688879,0.331290348,0.632990579,0.761379825
37,25.06151915,27.85250108,28.80455534,0.629434743,0.33797472,0.644514017,0.766377528
38,25.415225,28.20522563,29.33714858,0.629314108,0.344659092,0.633392693,0.771972656
39,25.76569349,28.55795017,29.86643385,0.621938189,0.351343464,0.642664292,0.761517693
40,26.11496291,28.91067472,30.39253651,0.634599035,0.358027836,0.641779642,0.786856618
41,26.46133751,29.26339927,30.91557418,0.628555836,0.362824826,0.643761489,0.778676471
42,26.8045538,29.61612382,31.4356574,0.628831572,0.367286664,0.643267463,0.777964154
43,27.1449581,29.96884836,31.95289021,0.63498966,0.371748502,0.639154412,0.762373621
44,27.48415092,30.32157291,32.46737066,0.640251608,0.376210341,0.645961627,0.776970358
45,27.82121439,30.67429746,32.97919132,0.643767233,0.380672179,0.650539982,0.771559053
46,28.15544873,31.02702201,33.48843964,0.631290211,0.385134017,0.658794807,0.770536535
47,28.4871777,31.37974655,33.9951984,0.643319164,0.389595855,0.650764017,0.77751034
48,28.81716713,31.7324711,34.49954601,0.630296415,0.394057694,0.646995634,0.786678539
49,29.14626724,32.08519565,35.00155685,0.652929688,0.398519532,0.657077206,0.788223805
50,29.47273489,32.4379202,35.50130155,0.633134191,0.40298137,0.661224724,0.796013327
51,29.79690872,32.79064474,35.99884722,0.646168428,0.407443208,0.65513557,0.783231847
52,30.11898361,33.14336929,36.49425776,0.646673943,0.411905046,0.657548254,0.786012178
53,30.44050113,33.49609384,36.98759398,0.647179458,0.416366885,0.654624311,0.781479779
54,30.76023521,33.84881839,37.4789139,0.64626034,0.420828723,0.661994485,0.78470818
55,31.07779214,34.20154293,37.96827283,0.640693934,0.425290561,0.648311121,0.779308364
56,31.39339763,34.55426748,38.45572364,0.653096278,0.429752399,0.655129825,0.790688189
57,31.7071915,34.90699203,38.94131684,0.6546875,0.434214238,0.658231847,0.778929228
58,32.02098754,35.25971658,39.42510074,0.657008272,0.438676076,0.657599954,0.79275046
59,32.33275722,35.58919363,39.9071216,0.65987477,0.443137914,0.660225184,0.796633732
60,32.64264575,35.89707759,40.38742374,0.648540901,0.447555146,0.66238511,0.794829963
61,32.95082571,36.20496154,40.86604964,0.655577895,0.451937028,0.658869485,0.792101333
62,33.25744402,36.51284549,41.34304006,0.648161765,0.456286253,0.661799173,0.791860064
63,33.56414968,36.82072944,41.81843415,0.651418888,0.460601571,0.662425322,0.80122932
64,33.86902524,37.12861339,42.29226948,0.660851333,0.464871242,0.663074449,0.799258961
65,34.17222372,37.43649734,42.76458222,0.658921186,0.469113973,0.661563649,0.796415441
66,34.47389293,37.7443813,43.23540711,0.653084789,0.473329045,0.656692325,0.790383732
67,34.77413062,38.05226525,43.70477761,0.658771829,0.477497523,0.662867647,0.793324908
68,35.07434718,38.3601492,44.17272595,0.663775276,0.481646086,0.664820772,0.794209559
69,35.37318582,38.66803315,44.63928318,0.646570542,0.485758805,0.659512868,0.794272748
70,35.67048833,38.9759171,45.10447922,0.656669347,0.489839823,0.666228171,0.796622243
71,35.96639501,39.28380106,45.56834295,0.650396369,0.493900564,0.671461397,0.793790211
72,36.26099749,39.59168501,46.03090223,0.662752757,0.497917733,0.669019991,0.795743336
73,36.55508163,39.89956896,46.49218397,0.649643842,0.501925953,0.670582491,0.795461857
74,36.84859877,40.20745291,46.95221416,0.652027803,0.505883433,0.671139706,0.794427849
75,37.1406736,40.51533686,47.41101791,0.651654412,0.509838583,0.665452665,0.794910386
76,37.43144641,40.82322082,47.86861953,0.660610064,0.513741036,0.67137523,0.799534697
77,37.72101163,41.13110477,48.3250425,0.660087316,0.517642562,0.67528148,0.798586857
78,38.00943552,41.43898872,48.78030958,0.669766774,0.521495211,0.674712776,0.800539982
79,38.29801814,41.74687267,49.23444277,0.655451517,0.525342554,0.665584789,0.803285846
80,38.58544807,42.05475662,49.6874634,0.663855699,0.529151237,0.676878447,0.800252757
81,38.87163204,42.36264057,50.13939215,0.667066866,0.532943832,0.669577206,0.811299403
82,39.15667455,42.67052453,50.59024904,0.668043428,0.536715072,0.669875919,0.805882353
83,39.4406477,42.97840848,51.04005351,0.672122013,0.540452347,0.673994715,0.800178079
84,39.72375282,43.28629243,51.48882439,0.662109375,0.544189622,0.673943015,0.80111443
85,40.00702155,43.59417638,51.93657999,0.663746553,0.5478748,0.685340074,0.799086627
86,40.28910747,43.90206033,52.38333805,0.667078355,0.551556178,0.671633732,0.807657399
87,40.57008504,44.20994429,52.82911582,0.671875,0.555218726,0.674425551,0.806060432
88,40.85004032,44.51782824,53.27393005,0.66534352,0.558843624,0.6686983,0.811862362
89,41.12903209,44.82571219,53.71779703,0.671622243,0.562468522,0.675172335,0.794852941
90,41.40725715,45.13359614,54.16073258,0.676102941,0.566060416,0.681634881,0.8063017
91,41.68566194,45.44148009,54.60275208,0.675011489,0.569628245,0.675396369,0.803986673
92,41.96299992,45.74936405,55.04387052,0.674890855,0.573196073,0.680313649,0.807611443
93,42.23932977,46.057248,55.48410245,0.669215303,0.576726207,0.675465303,0.808846507
94,42.51472623,46.36513195,55.92346206,0.667336857,0.580236371,0.682008272,0.80826057
95,42.78924234,46.6730159,56.36196315,0.660592831,0.583746534,0.679813879,0.813080193
96,43.06291898,46.98089985,56.79961915,0.672644761,0.587224942,0.678980928,0.811971507
97,43.3368671,47.26944384,57.23644317,0.674735754,0.59067684,0.681209789,0.804509421
98,43.60996011,47.53906379,57.67244797,0.67421875,0.594128738,0.678222656,0.805618107
99,43.8821168,47.80868374,58.10764599,0.674936811,0.597566732,0.675310202,0.806014476
100,44.1534077,48.0783037,58.54204934,0.671737132,0.600959755,0.681560202,0.811942785
